ShowOnFinalScv,Line name,Pipe name,VC name,Qos,DosOrDrop,Jambo,Bypass,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,,EOL
0,Subscribers,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
0,Subscribers,p_gold,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
0,Subscribers,p_gold,Skype,0,0,0,0,Subsribers_P_gold_skype_int,Subsribers_P_gold_skype_ext,,,,,,,,,,,,,,,,,,,,EOL
0,Subscribers,p_gold,FTP,0,0,0,0,Subsribers_P_gold_ftp_int,Subsribers_P_gold_ftp_ext,,,,,,,,,,,,,,,,,,,,EOL
0,Subscribers,p_gold,BitTorrent,0,0,0,0,Subsribers_P_gold_BitTor_int,Subsribers_P_gold_BitTor_ext,,,,,,,,,,,,,,,,,,,,EOL
0,Subscribers,p_gold,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
0,Subscribers,p_silver,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
0,Subscribers,p_silver,Skype,0,0,0,0,Subsribers_P_silver_skype_int,Subsribers_P_silver_skype_ext,,,,,,,,,,,,,,,,,,,,EOL
0,Subscribers,p_silver,FTP,0,0,0,0,Subsribers_P_silver_ftp_int,Subsribers_P_silver_ftp_ext,,,,,,,,,,,,,,,,,,,,EOL
0,Subscribers,p_silver,BitTorrent,0,0,0,0,Subsribers_P_silver_BitTor_int,Subsribers_P_silver_BitTor_ext,,,,,,,,,,,,,,,,,,,,EOL
0,Subscribers,p_silver,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
0,Subscribers,Fallback,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
0,Subscribers,Fallback,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Tos,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Tos,Tos10-to-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Tos,Tos10-to-1,Fallback,0,0,0,0,Tos_Tos10-to-1_vc(QinQ)_int,Tos_Tos10-to-1_vc(QinQ)_ext,,,,,,,,,,,,,,,,,,,,EOL
1,Tos,Tos20-to-45,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Tos,Tos20-to-45,Fallback,0,0,0,0,Tos_Tos10-to-1_vc(QinQ)_int,Tos_Tos10-to-1_vc(QinQ)_ext,,,,,,,,,,,,,,,,,,,,EOL
1,Tos,Fallback,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Tos,Fallback,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,TIME,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
0,TIME,Half-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
0,TIME,Half-1,VC2,0,0,0,0,Time_half_quarter_int,Time_half_quarter_ext,,,,,,,,,,,,,,,,,,,,EOL
0,TIME,Half-1,VC1,0,0,0,0,Time_half_quarter_int,Time_half_quarter_ext,,,,,,,,,,,,,,,,,,,,EOL
0,TIME,Half-1,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
0,TIME,Half-2,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
0,TIME,Half-2,VC2,0,0,0,0,Time_half_quarter_int,Time_half_quarter_ext,,,,,,,,,,,,,,,,,,,,EOL
0,TIME,Half-2,VC1,0,0,0,0,Time_half_quarter_int,Time_half_quarter_ext,,,,,,,,,,,,,,,,,,,,EOL
0,TIME,Half-2,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
0,TIME,Fallback,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,TIME,Fallback,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,UDS,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,UDS,Fallback,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,UDS,Fallback,Fallback,0,0,0,0,UDS_HTTP_GET_int,UDS_HTTP_GET_ext,,,,,,,,,,,,,,,,,,,,EOL
1,IPv6,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,IPv6,DualStack,,0,0,0,0,DualStack_IPv6_BitTorrent_int,DualStack_IPv6_BitTorrent_ext,DualStack_IPv4_eDonkey_int,DualStack_IPv4_eDonkey_ext,,,,,,,,,,,,,,,,,,EOL
1,IPv6,DualStack,BitTorrent-IPv6,0,0,0,0,DualStack_IPv6_BitTorrent_int,DualStack_IPv6_BitTorrent_ext,,,,,,,,,,,,,,,,,,,,EOL
1,IPv6,DualStack,eDonkey,0,0,0,0,DualStack_IPv4_eDonkey_int,DualStack_IPv4_eDonkey_ext,,,,,,,,,,,,,,,,,,,,EOL
1,IPv6,DualStack,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,IPv6,CER1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,IPv6,CER1,vc1,0,0,0,0,IPv6+Hop-by-Hop+Destination header +tcp+eDonkey_int,IPv6+Hop-by-Hop+Destination header +tcp+eDonkey_ext,,,,,,,,,,,,,,,,,,,,EOL
1,IPv6,CER1,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,IPv6,Fallback,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,IPv6,Fallback,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Tethering,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Tethering,Fallback,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Tethering,Fallback,Fallback,0,0,0,0,Tethering BG_int,Tethering BG_ext,Tethering-DNS_int,Tethering-DNS_ext,Tethering-HTTP_int,Tethering-HTTP_ext,,,,,,,,,,,,,,,,EOL
1,Interface,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Interface,p11,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Interface,p11,vc1,0,0,0,0,Interface-p1-vc1_int,Interface-p1-vc1_ext,,,,,,,,,,,,,,,,,,,,EOL
1,Interface,p11,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Interface,Fallback,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Interface,Fallback,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Fallback,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Fallback,Fallback,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Fallback,Fallback,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
